RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location
1113252,2017483,2299,2,BURGLARY-SECURE PARKING-RES,2299,BURGLARY-SECURE PARKING-RES,1/1/17,1/1/17,,36XX BLOCK OF 14 AV W,Q,Q2,5801.4053,-122.3749008,47.6530838,"(47.653083801, -122.374900818)"
1113253,2016464031,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,12/28/16,12/27/16,12/28/16,93XX BLOCK OF 37 AV S,S,S1,11700.2024,-122.285965,47.51900101,"(47.519001007, -122.285964966)"
1113259,201644565,2299,2,BURGLARY-SECURE PARKING-RES,2299,BURGLARY-SECURE PARKING-RES,2/6/16,2/5/16,2/6/16,15XX BLOCK OF 12 AV S,R,R1,9300.1027,-122.317276,47.58921051,"(47.58921051, -122.317276001)"
1113261,2016425964,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,11/26/16,11/26/16,,22XX BLOCK OF EASTLAKE AV E,D,D3,6600.2002,-122.3258972,47.6389885,"(47.638988495, -122.325897217)"
1113263,2016433389,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,12/2/16,12/1/16,12/2/16,36XX BLOCK OF AIRPORT WY S,O,O2,9300.3117,-122.3227386,47.57105255,"(47.571052551, -122.322738647)"
1113264,2016445581,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,12/12/16,12/12/16,,75XX BLOCK OF GREENWOOD AV N,J,J2,2900.2007,-122.3553009,47.68365479,"(47.683654785, -122.355300903)"
1113265,2016468369,2299,2,BURGLARY-SECURE PARKING-RES,2299,BURGLARY-SECURE PARKING-RES,12/31/16,12/26/16,12/31/16,18XX BLOCK OF 8 AV,M,M2,7300.3029,-122.3346787,47.61450577,"(47.614505768, -122.33467865)"
1113269,201714883,2299,2,BURGLARY-SECURE PARKING-RES,2299,BURGLARY-SECURE PARKING-RES,1/12/17,10/1/16,10/31/16,44XX BLOCK OF LINDEN AV N,B,B2,4900.5016,-122.3486328,47.66040421,"(47.660404205, -122.348632813)"
1113270,2016452400,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,12/17/16,12/17/16,,14XX BLOCK OF 5 AV W,Q,Q2,6900.2029,-122.3631058,47.63182831,"(47.631828308, -122.363105774)"
1113272,201714888,2299,2,BURGLARY-SECURE PARKING-RES,2299,BURGLARY-SECURE PARKING-RES,1/12/17,1/12/17,,6XX BLOCK OF COMSTOCK ST,Q,Q2,6700.4034,-122.3442307,47.63058472,"(47.630584717, -122.344230652)"
1113273,2016455298,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,12/19/16,12/19/16,12/19/16,20XX BLOCK OF NE 98 ST,L,L2,1100.2017,-122.3055649,47.70029068,"(47.70029068, -122.30556488)"
